item_id	citation	title	authority_tier	validity	validity_note	translation_status	translation_of	quotation_qualifier	version_id	lang	source_url	retrieved	media_type	bytes	sha256
AADHAAR-2016-s1	Aadhaar (Targeted Delivery of Financial and Other Subsidies, Benefits and Services) Act, 2016 (Act 18 of 2016), s. 1	Short title, extent and commencement.	legislative	in-force		authoritative			India Code 123456789/529353, accessioned 2026-07-10	eng	https://indiacode.gov.in/handle/123456789/529353	2026-09-16	application/json	704	602fa6cb77d4863baa93a71d61b154a27cfc2dda1f35f25f51fb026923d40714
AADHAAR-2016-s10	Aadhaar (Targeted Delivery of Financial and Other Subsidies, Benefits and Services) Act, 2016 (Act 18 of 2016), s. 10	Central Identities Data Repository.	legislative	in-force		authoritative			India Code 123456789/529409, accessioned 2026-07-10	eng	https://indiacode.gov.in/handle/123456789/529409	2026-09-16	application/json	222	c8a84a927fe929d4ddc47d443dc76b6665f0da24277b64485a6556f8506daca4
AADHAAR-2016-s11	Aadhaar (Targeted Delivery of Financial and Other Subsidies, Benefits and Services) Act, 2016 (Act 18 of 2016), s. 11	Establishment of Authority.	legislative	in-force		authoritative			India Code 123456789/529420, accessioned 2026-07-10	eng	https://indiacode.gov.in/handle/123456789/529420	2026-09-16	application/json	777	e8e580ebfd5ea63bff93647b85cb7628a272bc12cebeee187eb4d12451a0649b
AADHAAR-2016-s12	Aadhaar (Targeted Delivery of Financial and Other Subsidies, Benefits and Services) Act, 2016 (Act 18 of 2016), s. 12	Composition of Authority.	legislative	in-force		authoritative			India Code 123456789/529428, accessioned 2026-07-10	eng	https://indiacode.gov.in/handle/123456789/529428	2026-09-16	application/json	265	7ca28ea7bba97d759a67e7605ffdaec5bb4120d01d434068ccc6517912117216
AADHAAR-2016-s13	Aadhaar (Targeted Delivery of Financial and Other Subsidies, Benefits and Services) Act, 2016 (Act 18 of 2016), s. 13	Qualifications for appointment of Chairperson and Members of Authority.	legislative	in-force		authoritative			India Code 123456789/529439, accessioned 2026-07-10	eng	https://indiacode.gov.in/handle/123456789/529439	2026-09-16	application/json	348	7ca6fca6136bc28b1807cb8f5575442c7cce13cf5afa50d34afdb1dadbeeecc1
AADHAAR-2016-s14	Aadhaar (Targeted Delivery of Financial and Other Subsidies, Benefits and Services) Act, 2016 (Act 18 of 2016), s. 14	Term of office and other conditions of service of Chairperson and Members.	legislative	in-force		authoritative			India Code 123456789/529449, accessioned 2026-07-10	eng	https://indiacode.gov.in/handle/123456789/529449	2026-09-16	application/json	1089	b986154ede84ab01cf494395984cb16b4ab0feb0c6c33b5d273e28cb2b694adb
AADHAAR-2016-s15	Aadhaar (Targeted Delivery of Financial and Other Subsidies, Benefits and Services) Act, 2016 (Act 18 of 2016), s. 15	Removal of Chairperson and Members.	legislative	in-force		authoritative			India Code 123456789/529460, accessioned 2026-07-10	eng	https://indiacode.gov.in/handle/123456789/529460	2026-09-16	application/json	893	e8d1132e9a94fdb38067a564648554b1cd52699f85f3e4f408a31b9e84d5a953
AADHAAR-2016-s16	Aadhaar (Targeted Delivery of Financial and Other Subsidies, Benefits and Services) Act, 2016 (Act 18 of 2016), s. 16	Restrictions on Chairperson or Members on employment after cessation of office.	legislative	in-force		authoritative			India Code 123456789/529471, accessioned 2026-07-10	eng	https://indiacode.gov.in/handle/123456789/529471	2026-09-16	application/json	1746	5b5946743d12728923ba48d0e97eb17fa4cb19ec3aadc994b3b2dba9a3b8a1cb
AADHAAR-2016-s17	Aadhaar (Targeted Delivery of Financial and Other Subsidies, Benefits and Services) Act, 2016 (Act 18 of 2016), s. 17	Functions of Chairperson.	legislative	in-force		authoritative			India Code 123456789/529481, accessioned 2026-07-10	eng	https://indiacode.gov.in/handle/123456789/529481	2026-09-16	application/json	242	027efb0f7b71881812c4d6c3394521e6a539be6c6ba00ff7e3acd03ab843e27a
AADHAAR-2016-s18	Aadhaar (Targeted Delivery of Financial and Other Subsidies, Benefits and Services) Act, 2016 (Act 18 of 2016), s. 18	Chief executive officer.	legislative	in-force		authoritative			India Code 123456789/529489, accessioned 2026-07-10	eng	https://indiacode.gov.in/handle/123456789/529489	2026-09-16	application/json	1163	db097f72c68166393d393b15569842d7691ed390756d7e917e3e31174367f018
AADHAAR-2016-s19	Aadhaar (Targeted Delivery of Financial and Other Subsidies, Benefits and Services) Act, 2016 (Act 18 of 2016), s. 19	Meetings of Authority.	legislative	in-force		authoritative			India Code 123456789/529490, accessioned 2026-07-10	eng	https://indiacode.gov.in/handle/123456789/529490	2026-09-16	application/json	1366	a2efefabbdca773f971d2d0a4bc78579e9d4bb9e8e4dc5fd5f4ee7cb32dc7b1c
AADHAAR-2016-s2	Aadhaar (Targeted Delivery of Financial and Other Subsidies, Benefits and Services) Act, 2016 (Act 18 of 2016), s. 2	Definitions.	legislative	read-down	Read down in K.S. Puttaswamy v. Union of India (26 Sep 2018): an authentication record does not include the metadata that Regulation 26(c) of the Aadhaar (Authentication) Regulations, 2016 provided for, and that regulation was struck down. The whole of section 2 carries the banner because the corpus item is the section; the disposition is about clause (d) alone.	authoritative			India Code 123456789/529364, accessioned 2026-07-10	eng	https://indiacode.gov.in/handle/123456789/529364	2026-09-16	application/json	5258	bef26def654db83c4daf523946f5dfa53e1843e374633f7427d7c9b00f15d84e
AADHAAR-2016-s20	Aadhaar (Targeted Delivery of Financial and Other Subsidies, Benefits and Services) Act, 2016 (Act 18 of 2016), s. 20	Vacancies, etc., not to invalidate proceedings of Authority.	legislative	in-force		authoritative			India Code 123456789/529491, accessioned 2026-07-10	eng	https://indiacode.gov.in/handle/123456789/529491	2026-09-16	application/json	401	49e94eedfd1b6048b256a271db5098b5fa840cfcbc8a206c5d815e70c51d0e0e
AADHAAR-2016-s21	Aadhaar (Targeted Delivery of Financial and Other Subsidies, Benefits and Services) Act, 2016 (Act 18 of 2016), s. 21	Officers and other employees of Authority.	legislative	in-force		authoritative			India Code 123456789/529492, accessioned 2026-07-10	eng	https://indiacode.gov.in/handle/123456789/529492	2026-09-16	application/json	417	bc143cdd391c8b23565fb8b2e7cc5caeff33f71100625f4fb86b24fd99c3bdd1
AADHAAR-2016-s22	Aadhaar (Targeted Delivery of Financial and Other Subsidies, Benefits and Services) Act, 2016 (Act 18 of 2016), s. 22	Transfer of assets, liabilities of Authority.	legislative	in-force		authoritative			India Code 123456789/529493, accessioned 2026-07-10	eng	https://indiacode.gov.in/handle/123456789/529493	2026-09-16	application/json	1887	e34aa209553425ca1078f1ff9f6256389f0f8bfcdefbdd09b7383f09d34277a0
AADHAAR-2016-s23	Aadhaar (Targeted Delivery of Financial and Other Subsidies, Benefits and Services) Act, 2016 (Act 18 of 2016), s. 23	Powers and functions of Authority.	legislative	in-force		authoritative			India Code 123456789/529494, accessioned 2026-07-10	eng	https://indiacode.gov.in/handle/123456789/529494	2026-09-16	application/json	4033	addb2ee40444b2f4d41f976d9bb8924c0822abc99b98c1caee149a1e7ba19efa
AADHAAR-2016-s23A	Aadhaar (Targeted Delivery of Financial and Other Subsidies, Benefits and Services) Act, 2016 (Act 18 of 2016), s. 23A	Power of Authority to issue directions.	legislative	in-force		authoritative			India Code 123456789/538066, accessioned 2026-07-10	eng	https://indiacode.gov.in/handle/123456789/538066	2026-09-16	application/json	479	abaa0ef51b60a7686c9f1c2ede50c83110c0f389fd5e7ae16fa1ac3b157bae48
AADHAAR-2016-s24	Aadhaar (Targeted Delivery of Financial and Other Subsidies, Benefits and Services) Act, 2016 (Act 18 of 2016), s. 24	Grants by Central Government.	legislative	in-force		authoritative			India Code 123456789/529495, accessioned 2026-07-10	eng	https://indiacode.gov.in/handle/123456789/529495	2026-09-16	application/json	269	0da71a15d0daf980e1d83832f9fb2f3b7afce096cc4eadaf763f6a6dfac6ead6
AADHAAR-2016-s25	Aadhaar (Targeted Delivery of Financial and Other Subsidies, Benefits and Services) Act, 2016 (Act 18 of 2016), s. 25	Fund.	legislative	in-force		authoritative			India Code 123456789/529505, accessioned 2026-07-10	eng	https://indiacode.gov.in/handle/123456789/529505	2026-09-16	application/json	695	d4364e30650283fe5fe48c6eabf45d3ee16cb4386404bde012d5f6db23278364
