item_id	handle	footnote
AADHAAR-2016-s1	123456789/529353	"1. The words ""except the State of Jammu and Kashmir"" omitted by Act 34 of 2019, s. 95 and the Fifth Schedule (w.e.f. 31-10- 2019). 2. 12th September, 2016 -- Section 1 to 10, 24 to 47, vide notification No. S.O. 2927 (E), dated 12th September, 2016 see Gazette of India Extraordinary, Part II, s. 3 (ii). 12th July, 2016-- Section 11 to 20, 22 and 23, 48 to 59, vide notification No. S.O. 2357 (E), dated 12 the July 2016, see Gazette of India, Extraordinary, Part II, s. 3 (ii). 25th July, 2019 -- Sections 1 to 30, vide notification No. S.O. 2649 (E), dated 25th July, 2019 see Gazette of India, Extraordinary, Part II, s. 3 (ii)."
AADHAAR-2016-s2	123456789/529364	1. Subs. by Act 14 of 2019, s, 3, for clause (a) (w.e.f. 25-7-2019). 2. Ins. by s. 3, ibid, (w.e.f. 25-7-2019). 3. Ins. by Act 14 of 2019, s. 3 (w.e.f. 25-7-2019)
AADHAAR-2016-s3	123456789/529374	1. Ins. by Act 14 of 2019, s. 4 (w.e.f. 25-7-2019).
AADHAAR-2016-s3A	123456789/538064	1. Ins. by Act 14 of 2019, s. 5 (w.e.f. 25-7-2019).
AADHAAR-2016-s4	123456789/529378	1. Subs. by Act 14 of 2019, s. 6, for Sub-section (3) (w.e.f. 25-7-2019).
AADHAAR-2016-s7	123456789/529381	1. Ins. by Act 14 of 2019, s. 7 (w.e.f. 25-7-2019).
AADHAAR-2016-s8	123456789/529390	1. Ins. by Act 14 of 2019, s. 8 (w.e.f. 25-7-2019).
AADHAAR-2016-s8A	123456789/538065	1. Ins. by Act 14 of 2019, S. 9 (w.e.f. 25-7-2019).
AADHAAR-2016-s21	123456789/529492	1. Subs. by Act 14 of 2019, s. 10, for section 21 (w.e.f. 25-7-2019).
AADHAAR-2016-s23A	123456789/538066	1. Ins. by Act 14 of 2019, s. 11 (w.e.f. 25-7-2019).
AADHAAR-2016-s25	123456789/529505	1. Subs. by Act 14 of 2019, s. 12, for section 25 (w.e.f. 25-7-2019).
AADHAAR-2016-s29	123456789/529548	"1. Subs. by Act 14 of 2019, s. 13, for sub-section (3) (w.e.f. 25-7-2019). 2. Subs. by Act 14 of 2019, s. 13, for ""or core biometric information"" (w.e.f. 25-7-2019)."
AADHAAR-2016-s33	123456789/529590	"1. Subs. by Act 14 of 2019 s. 14, for ""District Judge"" (w.e.f. 25-7-2019). 2. Ins. by s. 14, ibid. (w.e.f. 25-7-2019).. 3. Subs. by Act 14 of 2019, s. 14, for ""Joint Secretary"" (w.e.f. 25-7-2019)."
AADHAAR-2016-s33A	123456789/538067	1. Ins. by Act 14 of 2019, s. 15 (w.e.f. 25-7-2019).
